,Unnamed: 0,No,Y_t,J_t,ID index,time,X_t,normal,J_t_pred,Interpolated X_t
0,0,1,418395.0,2026.0,0,2,206.5128331688055,1,2084.3,206.5128331688055
1,1,1,352095.0,2018.0,0,3,174.47720515361743,1,2084.3,174.47720515361743
2,2,1,260865.0,1983.0,0,4,131.55068078668685,1,2084.3,131.55068078668685
3,3,1,226581.0,2165.0,0,5,104.65635103926095,1,2084.3,104.65635103926095
4,4,1,187083.0,2121.0,0,6,88.2050919377652,1,2084.3,88.20509193776519
5,5,1,171573.0,2039.0,0,7,84.145659637077,1,2084.3,84.145659637077
6,6,1,158340.0,2206.0,0,8,71.77697189483227,1,2084.3,71.77697189483229
7,7,1,138864.0,2202.0,0,9,63.062670299727536,1,2084.3,63.062670299727536
8,8,1,128325.0,2147.0,0,10,59.769445738239405,1,2084.3,59.7694457382394
9,9,1,125439.0,1936.0,0,11,64.79287190082644,1,2084.3,64.79287190082644
10,10,1,135825.0,1727.0,0,12,78.64794441227563,1,2084.3,78.64794441227563
11,11,1,107850.0,2189.0,0,13,49.26907263590681,1,2084.3,49.26907263590681
12,12,3,388623.0,1377.0,1,2,282.2244008714597,1,2043.1,282.2244008714597
13,13,3,385677.0,2038.0,1,3,189.2428851815505,1,2043.1,189.2428851815505
14,14,3,296070.0,2057.0,1,4,143.93291200777833,1,2043.1,143.93291200777833
15,15,3,235476.0,2120.0,1,5,111.07358490566038,1,2043.1,111.07358490566038
16,16,3,198243.0,2134.0,1,6,92.89737582005623,1,2043.1,92.89737582005623
17,17,3,170568.0,2169.0,1,7,78.6390041493776,1,2043.1,78.6390041493776
18,18,3,146442.0,2107.0,1,8,69.50261034646418,1,2043.1,69.50261034646418
19,19,3,126732.0,2207.0,1,9,57.422745808790204,1,2043.1,57.42274580879021
20,20,3,104511.0,2140.0,1,10,48.836915887850466,1,2043.1,48.836915887850466
21,21,3,97971.0,2082.0,1,11,47.05619596541787,1,2043.1,47.05619596541787
22,22,3,86910.0,1473.0,1,12,59.002036659877795,1,2043.1,59.002036659877795
23,23,3,85182.0,2188.0,1,13,38.93144424131628,1,2043.1,38.93144424131626
24,24,5,582804.0,1788.0,2,2,325.95302013422815,1,1820.8,325.95302013422815
25,25,5,274413.0,1161.0,2,3,236.359173126615,1,1820.8,236.359173126615
26,26,5,213582.0,2015.0,2,4,105.99602977667494,1,1820.8,105.99602977667496
27,27,5,175071.0,2152.0,2,5,81.35269516728623,1,1820.8,81.35269516728624
28,28,5,124890.0,2115.0,2,6,59.04964539007092,1,1820.8,59.04964539007091
29,29,5,103629.0,2089.0,2,7,49.60698898994735,1,1820.8,49.60698898994735
30,30,5,60717.0,1277.0,2,8,47.546593578700076,1,1820.8,47.546593578700076
31,31,5,33774.0,1609.0,2,9,20.99067743940336,1,1820.8,20.990677439403356
32,32,5,63399.0,2111.0,2,10,30.032685930838465,1,1820.8,30.03268593083847
33,33,5,75384.0,1891.0,2,11,39.86462189317821,1,1820.8,39.86462189317821
34,34,5,83472.0,1916.0,2,12,43.56576200417537,1,1820.8,43.56576200417537
35,35,5,77037.0,2191.0,2,13,35.16065723413966,1,1820.8,35.16065723413966
36,36,7,427044.0,1572.0,3,2,271.6564885496183,1,1869.3,271.6564885496183
37,37,7,285276.0,2039.0,3,3,139.90975968612065,1,1869.3,139.90975968612065
38,38,7,162414.0,1991.0,3,4,81.57408337518834,1,1869.3,81.57408337518834
39,39,7,151902.0,2162.0,3,5,70.25994449583719,1,1869.3,70.25994449583719
40,40,7,114732.0,2116.0,3,6,54.221172022684314,1,1869.3,54.221172022684314
41,41,7,112014.0,1715.0,3,7,65.31428571428572,1,1869.3,65.31428571428572
42,42,7,78438.0,1348.0,3,8,58.18842729970326,1,1869.3,58.188427299703264
43,43,7,60495.0,1751.0,3,9,34.54882924043404,1,1869.3,34.54882924043403
44,44,7,71274.0,2151.0,3,10,33.13528591352859,1,1869.3,33.13528591352859
45,45,7,72438.0,1848.0,3,11,39.19805194805196,1,1869.3,39.19805194805196
46,46,7,77457.0,1645.0,3,12,47.08632218844985,1,1869.3,47.08632218844985
47,47,7,70125.0,2174.0,3,13,32.25620975160994,1,1869.3,32.25620975160993
48,48,9,538848.0,1637.0,4,2,329.16799022602316,1,1972.4,329.16799022602316
49,49,9,277353.0,2062.0,4,3,134.50678952473328,1,1972.4,134.50678952473328
50,50,9,274878.0,2073.0,4,4,132.59913169319827,1,1972.4,132.59913169319827
51,51,9,206514.0,2168.0,4,5,95.25553505535058,1,1972.4,95.25553505535058
52,52,9,120006.0,2127.0,4,6,56.420310296191815,1,1972.4,56.420310296191815
53,53,9,110295.0,2049.0,4,7,53.828696925329425,1,1972.4,53.828696925329425
54,54,9,122721.0,1659.0,4,8,73.9728752260398,1,1972.4,73.9728752260398
55,55,9,90588.0,2023.0,4,9,44.779041028175975,1,1972.4,44.77904102817598
56,56,9,76380.0,2124.0,4,10,35.960451977401135,1,1972.4,35.960451977401135
57,57,9,83760.0,1802.0,4,11,46.481687014428395,1,1972.4,46.481687014428395
58,58,9,76527.0,1620.0,4,12,47.2388888888889,1,1972.4,47.2388888888889
59,59,9,59592.0,2190.0,4,13,27.21095890410959,1,1972.4,27.21095890410959
60,60,11,474150.0,1689.0,5,2,280.72824156305506,1,2055.0,280.72824156305506
61,61,11,391167.0,2104.0,5,3,185.91587452471484,1,2055.0,185.91587452471484
62,62,11,277242.0,2068.0,5,4,134.06286266924565,1,2055.0,134.06286266924565
63,63,11,191955.0,2169.0,5,5,88.49930843706775,1,2055.0,88.49930843706775
64,64,11,139041.0,2123.0,5,6,65.49269901083373,1,2055.0,65.49269901083375
65,65,11,89757.0,2073.0,5,7,43.29811866859624,1,2055.0,43.29811866859623
66,66,11,97722.0,2200.0,5,8,44.41909090909091,1,2055.0,44.41909090909091
67,67,11,87381.0,2197.0,5,9,39.772872098315894,1,2055.0,39.772872098315894
68,68,11,61230.0,2120.0,5,10,28.88207547169811,1,2055.0,28.8820754716981
69,69,11,61242.0,1807.0,5,11,33.89153292750415,1,2055.0,33.89153292750415
70,70,11,58677.0,1756.0,5,12,33.415148063781324,1,2055.0,33.415148063781324
71,71,11,42777.0,2188.0,5,13,19.55073126142596,1,2055.0,19.550731261425966
72,72,19,654930.0,1626.0,6,4,402.7859778597786,1,1891.3,402.7859778597786
73,73,19,472101.0,2093.0,6,5,225.561872909699,1,1891.3,225.561872909699
74,74,19,226404.0,1817.0,6,6,124.60319207484864,1,1891.3,124.60319207484866
75,75,19,156438.0,1941.0,6,7,80.59659969088098,1,1891.3,80.59659969088096
76,76,19,151134.0,1287.0,6,8,117.43123543123545,1,1891.3,117.43123543123545
77,77,19,121257.0,1962.0,6,9,61.80275229357797,1,1891.3,61.80275229357795
78,78,19,101043.0,2045.0,6,10,49.409779951100255,1,1891.3,49.40977995110025
79,79,19,100362.0,1863.0,6,11,53.871175523349436,1,1891.3,53.871175523349436
80,80,19,83550.0,2107.0,6,12,39.65353583293783,1,1891.3,39.65353583293782
81,81,19,84522.0,2172.0,6,13,38.91436464088397,1,1891.3,38.91436464088397
82,82,19,80070.0,2098.0,6,14,38.16491897044805,1,1891.3,38.16491897044805
83,83,19,77835.0,1995.0,6,15,39.015037593984964,1,1891.3,39.015037593984964
84,84,21,303840.0,1136.0,7,17,267.4647887323944,1,1687.888888888889,267.4647887323944
85,85,21,155925.0,223.0,7,18,699.2152466367712,0,1687.888888888889,206.75651981854946
86,86,21,242148.0,1658.0,7,19,146.04825090470447,1,1687.888888888889,146.04825090470447
87,87,21,133764.0,1807.0,7,20,74.02545655783067,1,1687.888888888889,74.02545655783064
88,88,21,116772.0,1768.0,7,21,66.04751131221721,1,1687.888888888889,66.04751131221721
89,89,21,95010.0,1626.0,7,22,58.43173431734317,1,1687.888888888889,58.43173431734317
90,90,21,74157.0,1914.0,7,23,38.74451410658308,1,1687.888888888889,38.74451410658307
91,91,21,73023.0,1563.0,7,24,46.719769673704405,1,1687.888888888889,46.719769673704405
92,92,21,40293.0,2209.0,7,25,18.240380262562248,1,1687.888888888889,18.24038026256224
93,93,21,55629.0,1510.0,7,26,36.84039735099338,1,1687.888888888889,36.840397350993385
94,94,21,28794.0,2177.0,7,27,13.226458429030776,1,1687.888888888889,13.226458429030771
95,95,21,34587.0,1441.0,7,28,24.002081887578072,1,1687.888888888889,24.002081887578072
96,96,22,356589.0,1139.0,8,17,313.071992976295,1,1667.2,313.071992976295
97,97,22,346887.0,1089.0,8,18,318.5371900826446,1,1667.2,318.5371900826446
98,98,22,238533.0,1705.0,8,19,139.90205278592376,1,1667.2,139.9020527859238
99,99,22,173325.0,1703.0,8,20,101.77627715795654,1,1667.2,101.77627715795654
100,100,22,174063.0,1875.0,8,21,92.8336,1,1667.2,92.83359999999999
101,101,22,149127.0,1430.0,8,22,104.28461538461538,1,1667.2,104.28461538461538
102,102,22,95493.0,1991.0,8,23,47.96233048719236,1,1667.2,47.96233048719239
103,103,22,73509.0,1977.0,8,24,37.182094081942346,1,1667.2,37.18209408194235
104,104,22,50541.0,2209.0,8,25,22.87958352195564,1,1667.2,22.879583521955652
105,105,22,69072.0,1554.0,8,26,44.44787644787645,1,1667.2,44.44787644787647
106,106,22,40239.0,2161.0,8,27,18.62054604349838,1,1667.2,18.620546043498393
107,107,22,30024.0,1458.0,8,28,20.592592592592585,1,1667.2,20.592592592592585
108,108,23,792153.0,836.0,9,12,947.5514354066986,0,1855.857142857143,379.6055258590767
109,109,23,425277.0,1675.0,9,13,253.89671641791043,1,1855.857142857143,253.89671641791045
110,110,23,275604.0,2150.0,9,14,128.1879069767442,1,1855.857142857143,128.18790697674422
111,111,23,195702.0,2175.0,9,15,89.97793103448276,1,1855.857142857143,89.97793103448276
112,112,23,150300.0,1984.0,9,16,75.75604838709677,1,1855.857142857143,75.75604838709677
113,113,23,60696.0,1812.0,9,17,33.49668874172185,1,1855.857142857143,33.49668874172184
114,114,23,82101.0,2138.0,9,18,38.40084190832554,1,1855.857142857143,38.40084190832554
115,115,23,73365.0,417.0,9,19,175.93525179856118,0,1855.857142857143,51.77842314544314
116,116,23,57441.0,383.0,9,20,149.97650130548303,0,1855.857142857143,65.15600438256074
117,117,23,83010.0,1057.0,9,21,78.53358561967832,1,1855.857142857143,78.53358561967833
118,118,23,72744.0,852.0,9,22,85.38028169014085,0,1855.857142857143,91.91116685679592
119,119,23,36774.0,827.0,9,23,44.46674727932285,0,1855.857142857143,105.28874809391351
120,120,25,461544.0,1541.0,10,5,299.5094094743673,1,2048.6,299.5094094743673
121,121,25,417660.0,2031.0,10,6,205.64254062038404,1,2048.6,205.64254062038404
122,122,25,318546.0,2092.0,10,7,152.26864244741873,1,2048.6,152.26864244741876
123,123,25,268992.0,2113.0,10,8,127.30336015144344,1,2048.6,127.30336015144344
124,124,25,221940.0,2206.0,10,9,100.60743427017228,1,2048.6,100.60743427017229
125,125,25,192540.0,1970.0,10,10,97.73604060913704,1,2048.6,97.73604060913704
126,126,25,171450.0,2131.0,10,11,80.45518535898641,1,2048.6,80.45518535898643
