,TVD (ft),Bot-Hole Northing (NAD83),Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Avg Fluid Pumped per Stage (m3),Stages Actual,Avg Frac Spacing (m),Avg Fluid Pumped / Meter (m3),Proppant Size 1,Total Ceramic Proppant Placed (tonne),No,SF_oil,SF_slickwater,Y_first6
0,1.2268240863960895,-0.8589876590795249,-1.9611852214281884,-1.5220414825312611,-1.299001711470565,-1.2813833913993877,0.24438838163427964,-1.1412677555955943,-1.3932650545037655,2.901430386658298,354,1,0,99580.58333
1,0.4905182302159756,-0.6289315705660391,-0.27303137433256935,-0.28701176918221055,-1.082438527769338,-0.1107884498273533,0.4157429180262882,-1.0268657904349656,0.587010149867069,2.152314548062697,372,0,0,82942.66667
2,1.2244178581079193,-0.44366979252153016,0.241627892326128,-0.8247683678234969,0.598910656551815,1.0598064917446812,-1.0975236143563358,1.182662360216391,0.09194134877436037,-0.47442713194051983,383,0,0,55833.66667000001
3,1.558883590163592,-0.2656483807654739,-0.9272581167518247,-1.9289064613940723,-0.06285877522770195,1.5150378579115835,-1.090511664018044,0.35605208253616266,0.09194134877436037,-0.47442713194051983,395,0,0,95592.08333
4,1.635882895385042,-0.2566633480405094,0.37747715255527037,-0.7149172701028703,0.5013733029931133,1.0598064917446812,-1.105412058486914,0.99199241828201,0.09194134877436037,-0.47442713194051983,397,0,0,104730.3333
5,1.277354880447666,-0.2723217301735958,-1.2474950291172073,-2.050011791843316,0.2192572638827058,1.1248395440542387,-1.1040973177984847,0.6835557475058054,0.09194134877436037,-0.47442713194051983,399,0,0,48715.08333
6,1.2749486521594957,-0.25413357997678176,-0.4251646266782137,-1.1822125855736876,0.6577971198854855,0.7346412301968938,-1.1203124529557846,1.0783546860993474,4.547560558608738,-0.47442713194051983,401,0,0,95971.75
7,-0.6909398592756452,0.3230021129908972,-1.0752419749577413,-0.1928187343883548,-1.3270620213770552,-0.9562181298516004,0.445981953860172,-1.1850096834511288,0.587010149867069,1.4302076838213154,449,0,0,110092.25
8,-0.4743793133403176,0.4090795989273525,-0.2015341214634147,-0.4952150746616168,-0.04132301926745544,0.14934375941087658,-0.48967516940565536,-0.002856043457966251,0.09194134877436037,-0.47442713194051983,451,0,0,52675.91667
9,-0.8569696111593964,0.43186930209080615,-0.42272314780517545,-1.2935316266936991,-0.2333718462938466,0.9297403871255662,-1.0589578874957304,0.17323325585790314,4.547560558608738,-0.47442713194051983,467,0,0,43894.08333
10,-0.19285060362439163,0.4272023196616014,-0.11585837201964409,-1.221357742890615,-0.3060638875427576,1.2549056486733536,-1.115053490202066,0.16986849217670824,4.547560558608738,-0.47442713194051983,469,0,0,18378.66667
11,-0.5441599336972565,0.45284892089375317,-0.2015341214634147,-0.4952150746616168,-0.05113348987503199,0.14934375941087658,-0.6715476313051019,-0.015193510289014571,4.547560558608738,-0.47442713194051983,475,0,0,58240.08333
12,-1.4224332588794186,0.4882874586065605,-0.48655998072406337,-2.3054339433362654,-1.0547800925624353,4.766690473389457,-2.164654806465137,0.2607171115689722,0.09194134877436037,-0.47442713194051983,485,0,0,40747.83333
13,-1.925334971107013,0.5074133657149105,-0.3853170036035814,-2.30372134270365,-1.107874832284404,5.091855734937245,-2.1532603871654126,0.14407197062088017,0.09194134877436037,-0.47442713194051983,490,0,0,29281.75
14,-1.5692131844578074,0.5091798400491823,-0.2701307182402899,-2.3039659999368807,-1.110451558299406,5.4820540487945895,-2.1528221402692695,0.13509926747102693,0.09194134877436037,-0.47442713194051983,492,0,0,41352.58333
15,-0.7222208270218592,0.5732527186801143,-0.052570311874970944,-1.206922966129998,-0.5243527684833899,1.319938700982911,-1.079555491614463,-0.12510912387471643,4.547560558608738,-0.47442713194051983,498,0,0,41404.08333
16,-1.1144360379936193,0.6066412736184841,0.07397221008125943,-1.211816110794614,-0.22167020062938766,1.5150378579115835,-1.0878821826411844,0.23940694158807085,0.09194134877436037,-0.47442713194051983,500,0,0,57193.58333
17,-1.6654623159846196,0.5565039185818867,-0.36219015097594937,-1.2428875794149248,0.01959645725236357,0.9297403871255662,-1.0449339868191465,0.47830516295291303,0.09194134877436037,-0.47442713194051983,502,0,0,41967.66667
18,-1.684712142289982,0.5969365687288691,-0.2130135519444428,-1.228208145421077,0.006429150918820878,1.1248395440542387,-1.1851729935849846,0.5725185460263719,0.09194134877436037,-0.47442713194051983,504,0,0,58749.5
19,-1.6029003804921917,0.6369984730753611,0.5655158235566964,-0.7413402512917961,0.228027588208997,1.319938700982911,-1.1790375370389792,0.8618882226091382,0.09194134877436037,-0.47442713194051983,510,0,0,42841.66667
20,-1.9469910257005456,0.6569094760416417,0.4539693576142187,-0.8252576822899584,0.2707917841827467,1.319938700982911,-1.1864877342734146,0.9213323809769159,0.09194134877436037,-0.47442713194051983,512,0,0,68032.25
