,Unnamed: 0,No,PRICE ($),Per Month Operation Cost ($),Y_t,J_t,ID index,time,X_t,normal,Interpolated X_t
0,15,724,292000,30000,356157.0,2035.0,0,9,175.01572481572484,1,175.01572481572484
1,15,724,292000,30000,502263.0,2863.0,0,10,175.43241355221798,1,175.43241355221798
2,15,724,292000,30000,250323.0,3502.0,0,11,71.48001142204454,1,71.48001142204456
3,15,724,292000,30000,103344.0,2664.0,0,12,38.792792792792795,1,38.79279279279281
4,15,724,292000,30000,68169.0,4006.0,0,13,17.016724912631055,1,17.016724912631048
5,16,727,931000,50000,446175.0,2375.0,1,6,187.86315789473687,1,187.86315789473687
6,16,727,931000,50000,541848.0,4021.0,1,7,134.75453867197214,1,134.75453867197214
7,16,727,931000,50000,306192.0,4295.0,1,8,71.29033760186262,1,71.2903376018626
8,16,727,931000,50000,215619.0,4374.0,1,9,49.295610425240056,1,49.295610425240056
9,16,727,931000,50000,185322.0,4316.0,1,10,42.9383688600556,1,42.93836886005559
10,17,729,955000,50000,830055.0,2171.0,2,12,382.33763242745283,1,382.33763242745283
11,17,729,955000,50000,1185528.0,3257.0,2,13,363.99385937979736,1,363.99385937979736
12,17,729,955000,50000,152208.0,3626.0,2,14,41.97683397683398,1,41.97683397683397
13,17,729,955000,50000,525423.0,1910.0,2,15,275.0905759162304,0,46.597581408902165
14,17,729,955000,50000,209022.0,4081.0,2,16,51.21832884097035,1,51.21832884097035
15,18,743,528000,50000,379635.0,1569.0,3,4,241.95984703632888,0,126.21486295970112
16,18,743,528000,50000,339387.0,3955.0,3,5,85.81213653603034,1,85.81213653603032
17,18,743,528000,50000,193989.0,4272.0,3,6,45.409410112359545,1,45.40941011235954
18,18,743,528000,50000,158025.0,4112.0,3,7,38.43020428015564,1,38.43020428015564
19,18,743,528000,50000,129741.0,4310.0,3,8,30.102320185614854,1,30.102320185614857
20,19,745,399000,30000,347334.0,1597.0,4,7,217.49154664996868,0,87.82531667102961
21,19,745,399000,30000,240198.0,3962.0,4,8,60.62544169611307,1,60.62544169611308
22,19,745,399000,30000,143028.0,4279.0,4,9,33.42556672119654,1,33.425566721196546
23,19,745,399000,30000,115974.0,4072.0,4,10,28.480844793713164,1,28.480844793713164
24,19,745,399000,30000,101316.0,4307.0,4,11,23.52356628743905,1,23.523566287439053
25,20,747,249000,30000,425076.0,2222.0,5,7,191.3033303330333,1,191.3033303330333
26,20,747,249000,30000,286386.0,3794.0,5,8,75.48392198207695,1,75.48392198207695
27,20,747,249000,30000,194100.0,4248.0,5,9,45.69209039548022,1,45.69209039548022
28,20,747,249000,30000,120855.0,3988.0,5,10,30.30466399197593,1,30.30466399197593
29,20,747,249000,30000,111963.0,4297.0,5,11,26.056085641144985,1,26.05608564114499
30,21,749,76000,5000,132963.0,1415.0,6,9,93.9667844522968,0,31.718552708366495
31,21,749,76000,5000,79440.0,3294.0,6,10,24.11657559198543,1,24.11657559198543
32,21,749,76000,5000,140169.0,1983.0,6,11,70.68532526475038,0,16.514598475604366
33,21,749,76000,5000,30294.0,3399.0,6,12,8.9126213592233,1,8.912621359223298
34,21,749,76000,5000,19212.0,4071.0,6,13,4.719233603537215,1,4.719233603537216
35,22,751,753000,50000,621972.0,2486.0,7,10,250.18986323411102,1,250.18986323411102
36,22,751,753000,50000,333357.0,2901.0,7,11,114.91106514994829,1,114.91106514994829
37,22,751,753000,50000,531957.0,3239.0,7,12,164.2349490583513,1,164.2349490583513
38,22,751,753000,50000,431643.0,1629.0,7,13,264.97421731123393,0,104.50434396537742
39,22,751,753000,50000,181065.0,4044.0,7,14,44.77373887240356,1,44.773738872403555
40,23,766,1623000,100000,802446.0,3909.0,8,1,205.2816577129701,1,205.2816577129701
41,23,766,1623000,100000,706557.0,4254.0,8,2,166.09238363892808,1,166.09238363892808
42,23,766,1623000,100000,521658.0,4410.0,8,3,118.28979591836736,1,118.28979591836736
43,23,766,1623000,100000,367200.0,3970.0,8,4,92.49370277078087,1,92.49370277078087
44,23,766,1623000,100000,367266.0,4407.0,8,5,83.33696392103472,1,83.33696392103472
45,24,768,624000,50000,601935.0,3802.0,9,1,158.32062072593368,1,158.32062072593368
46,24,768,624000,50000,369801.0,4254.0,9,2,86.93018335684063,1,86.93018335684063
47,24,768,624000,50000,266589.0,4401.0,9,3,60.57464212678936,1,60.57464212678936
48,24,768,624000,50000,170013.0,4027.0,9,4,42.21827663272908,1,42.21827663272908
49,24,768,624000,50000,175599.0,4401.0,9,5,39.89979550102249,1,39.89979550102249
50,25,770,683000,50000,632712.0,4032.0,10,1,156.92261904761904,1,156.92261904761904
51,25,770,683000,50000,376758.0,4248.0,10,2,88.69067796610169,1,88.69067796610169
52,25,770,683000,50000,265776.0,4399.0,10,3,60.41736758354171,1,60.41736758354172
53,25,770,683000,50000,175782.0,4068.0,10,4,43.21091445427729,1,43.210914454277294
54,25,770,683000,50000,161418.0,4400.0,10,5,36.68590909090909,1,36.68590909090909
55,26,774,790000,50000,626316.0,3264.0,11,1,191.88602941176467,1,191.88602941176467
56,26,774,790000,50000,372159.0,4224.0,11,2,88.10582386363636,1,88.10582386363636
57,26,774,790000,50000,258831.0,4380.0,11,3,59.09383561643836,1,59.09383561643837
58,26,774,790000,50000,217557.0,4053.0,11,4,53.67801628423389,1,53.6780162842339
